recno,role,value
88,gangue,quartz
88,gangue,tourmaline
88,gold,As-pyrite
88,gold,marcasite
88,gold,Tl-pyrite
88,ore,As-pyrite
88,ore,azurite/malachite
88,ore,cerargyrite
88,ore,christite
88,ore,cinnabar
88,ore,fangite
88,ore,gillulyite
88,ore,gold
88,ore,hematite
88,ore,lorandite
88,ore,raguinite
88,ore,marcasite
88,ore,orpiment
88,ore,realgar
88,ore,silver
88,ore,stibnite
88,ore,stibiconite
88,ore,tiemannite
88,ore,Tl-pyrite
89,gangue,"alunite (19.7±0.5 Ma"
89,gangue,K-Ar)
89,gangue,amphibole
89,gangue,barite
89,gangue,diopside
89,gangue,dolomite
89,gangue,garnet
89,gangue,kaolinite
89,gangue,montmorillonite
89,gangue,phlogopite
89,gangue,quartz
89,gangue,sericite
89,gangue,siderite
89,ore,arsenopyrite
89,ore,As-pyrite
89,ore,bismuthinite
89,ore,chalcocite
89,ore,chalcopyrite
89,ore,conichalcite
89,ore,copper
89,ore,covellite
89,ore,digenite
89,ore,faustite
89,ore,Fe-oxide
89,ore,galena
89,ore,gold
89,ore,hematite
89,ore,hemimorphite
89,ore,limonite
89,ore,malachite
89,ore,molybdenite
89,ore,pyrite
89,ore,scheelite
89,ore,sphalerite
89,ore,stibnite
89,ore,tennantite
89,ore,tetradymite
90,gangue,dolomite
90,gangue,illite
90,gangue,kaolinite
90,gangue,quartz
90,ore,arsenopyrite
90,ore,gold
90,ore,pyrite
91,gangue,barite
91,gangue,dolomite
91,gangue,illite
91,gangue,kaolinite
91,gangue,quartz
91,ore,arsenopyrite
91,ore,gold
91,ore,pyrite
91,ore,sphalerite
91,ore,stibnite
93,gangue,barite
93,gangue,calcite
93,gangue,chlorite
93,gangue,dolomite
93,gangue,quartz
93,gangue,sericite/illite
93,gold,goethite
93,gold,pyrite
93,gold,quartz
93,ore,arsenopyrite
93,ore,As-sulfosalt
93,ore,Au-telluride
93,ore,azurite/malachite
93,ore,electrum
93,ore,cerargyrite
93,ore,chalcopyrite
93,ore,"Cu-Sb sulfide"
93,ore,galena
93,ore,goethite
93,ore,gold
93,ore,marcasite
93,ore,molybdenite
93,ore,pyrite
93,ore,sphalerite
93,ore,stibnite
94,gangue,barite
94,gangue,"clay minerals"
94,gangue,quartz
94,ore,hematite
94,ore,limonite
94,ore,pyrite
96,gangue,dolomite
96,gangue,illite
96,gangue,kaolinite
96,gangue,quartz
96,ore,arsenopyrite
96,ore,gold
96,ore,pyrite
97,gangue,calcite
97,gangue,quartz
97,gold,Fe-oxide
97,ore,Cu-oxide
97,ore,Fe-oxide
97,ore,gold
97,ore,Mn-oxide
98,gangue,alunite
98,gangue,barite
98,gangue,kaolinite
98,gangue,montmorillonite
98,gangue,quartz
98,gold,Fe-oxide
98,gold,pyrite
98,ore,arsenopyrite
98,ore,bournonite
98,ore,chalcopyrite
98,ore,cinnabar
98,ore,copper
98,ore,covellite
98,ore,famatinite
98,ore,Fe-oxide
98,ore,galena
98,ore,"geocronite (?)"
98,ore,gersdorffite
98,ore,gold
98,ore,marcasite
98,ore,pyrite
98,ore,realgar
98,ore,scorodite
98,ore,sphalerite
98,ore,stibnite
99,gangue,barite
99,gangue,calcite
99,gangue,carbon
99,gangue,illite
99,gangue,kaolinite
99,gangue,muscovite/sericite
99,gangue,quartz
99,gangue,scapolite
99,gold,hematite
99,gold,quartz
99,ore,goethite
99,ore,gold
99,ore,hematite
99,ore,limonite
99,ore,orpiment
99,ore,pyrite
100,gangue,barite
100,gangue,quartz
100,gangue,calcite
100,ore,Fe-oxide
100,ore,gold
100,ore,hematite
101,gangue,calcite
101,gangue,dolomite
101,gangue,quartz
101,gangue,
101,gold,pyrite
101,gold,quartz
101,ore,arsenopyrite
101,ore,chalcocite
101,ore,chalcopyrite
101,ore,goethite
101,ore,gold
101,ore,lepidocrocite
101,ore,magnetite
101,ore,marcasite
101,ore,pyrite
101,ore,sphalerite
101,ore,tennantite/tetrahedrite
102,gangue,alunite
102,gangue,apatite
102,gangue,barite
102,gangue,biotite
102,gangue,calcite
102,gangue,carbon
102,gangue,dolomite
102,gangue,illite
102,gangue,jarosite
102,gangue,kaolinite
102,gangue,montmorillonite
102,gangue,quartz
102,gangue,siderite
102,gangue,weilerite
102,gold,As-pyrite
102,gold,quartz
102,ore,arsenopyrite
102,ore,As-pyrite
102,ore,cinnabar
102,ore,goethite
102,ore,gold
102,ore,hematite
102,ore,marcasite
102,ore,pyrite
102,ore,realgar
102,ore,rutile
102,ore,sphalerite
103,gangue,"carbon (remobilized)"
103,gangue,"clay minerals"
103,gangue,quartz
103,ore,As-pyrite
103,ore,pyrite
104,gangue,barite
104,gangue,calcite
104,gangue,dickite
104,gangue,illite
104,gangue,kaolinite
104,gangue,quartz
104,gold,pyrite
104,gold,marcasite
104,ore,arsenopyrite
104,ore,As-pyrite
104,ore,Cu-sulfosalt
104,ore,galena
104,ore,gold
104,ore,marcasite
104,ore,"pyrargyrite (?)"
104,ore,pyrite
104,ore,realgar
104,ore,silver
104,ore,sphalerite
105,gangue,dolomite
105,gangue,illite
105,gangue,kaolinite
105,gangue,quartz
105,ore,arsenopyrite
105,ore,gold
105,ore,pyrite
106,gangue,barite
106,gangue,calcite
106,gangue,dolomite
106,gangue,illite
106,gangue,kaolinite
106,gangue,quartz
106,gold,As-pyrite
106,gold,quartz
106,ore,As-pyrite
106,ore,goethite
106,ore,gold
106,ore,hematite
106,ore,pyrite
109,gangue,apatite
109,gangue,dolomite
109,gangue,illite
109,gangue,kaolinite
109,gangue,quartz
109,gold,marcasite
109,gold,kaolinite
109,ore,arsenopyrite
109,ore,carlinite
109,ore,gold
109,ore,marcasite
109,ore,orpiment
109,ore,pyrite
109,ore,realgar
109,ore,stibnite
110,gangue,dolomite
110,gangue,illite
110,gangue,kaolinite
110,gangue,quartz
110,ore,arsenopyrite
110,ore,gold
110,ore,pyrite
111,gangue,barite
111,gangue,dolomite
111,gangue,fluorapatite
111,gangue,quartz
111,gold,pyrite
111,ore,acanthite
111,ore,Ag-selenide
111,ore,"Ag-Sb enriched pyrite"
111,ore,"Au-enriched pyrite"
111,ore,gold
111,ore,pyrite
111,ore,senarmontite
111,ore,sphalerite
111,ore,stibnite
111,ore,tennantite/tetrahedrite
112,gangue,barite
112,gangue,calcite
112,gangue,jarosite
112,gangue,quartz
112,gold,arsenopyrite
112,gold,"pyrite (75%)"
112,gold,"quartz (25%)"
112,ore,arsenopyrite
112,ore,cinnabar
112,ore,goethite
112,ore,gold
112,ore,marcasite
112,ore,orpiment
112,ore,pyrite
112,ore,realgar
112,ore,scorodite
112,ore,sphalerite
112,ore,stibnite
112,ore,variscite
113,gangue,barite
113,gangue,calcite
113,gangue,dolomite
113,gangue,illite
113,gangue,kaolinite
113,gangue,montmorillonite
113,gangue,quartz
113,gold,"clay minerals"
113,gold,pyrite
113,ore,orpiment
113,ore,pyrite
113,ore,realgar
114,gangue,alunite
114,gangue,kaolinite
114,gangue,quartz
114,gangue,sericite
114,gold,"clay minerals"
114,gold,quartz
114,ore,hematite
114,ore,limonite
114,ore,pyrite
114,ore,sphalerite
115,gangue,adularia
115,gangue,barite
115,gangue,calcite
115,gangue,dickite
115,gangue,dolomite
115,gangue,illite
115,gangue,K-feldspar
115,gangue,kaolinite
115,gangue,muscovite/sericite
115,gangue,phlogopite
115,gangue,quartz
115,gangue,rhodochrosite
115,gold,As-pyrite
115,ore,arsenopyrite
115,ore,As-pyrite
115,ore,calaverite
115,ore,chalcopyrite
115,ore,cinnabar
115,ore,coloradoite
115,ore,galena
115,ore,galkhaite
115,ore,gold
115,ore,marcasite
115,ore,orpiment
115,ore,pyrite
115,ore,pyrrhotite
115,ore,realgar
115,ore,sphalerite
115,ore,stibnite
115,ore,tellurium
115,ore,tetrahedrite
115,ore,variscite
116,gangue,dolomite
116,gangue,illite
116,gangue,kaolinite
116,gangue,quartz
116,ore,arsenopyrite
116,ore,gold
116,ore,pyrite
117,gangue,dolomite
117,gangue,illite
117,gangue,kaolinite
117,gangue,quartz
117,gangue,smectite
117,gold,hematite
117,ore,goethite
117,ore,hematite
117,ore,gold
117,ore,scorodite
118,gangue,calcite
118,gangue,dolomite
118,gangue,illite
118,gangue,jarosite
118,gangue,kaolinite
118,gangue,quartz
118,ore,goethite
118,ore,gold
118,ore,hematite
118,ore,limonite
118,ore,marcasite
118,ore,pyrite
119,gangue,quartz
119,ore,arsenopyrite
119,ore,limonite
119,ore,pyrite
119,ore,scorodite
120,gangue,barite
120,gangue,calcite
120,gangue,hydrocarbon
120,gangue,kaolinite
120,gangue,quartz
120,ore,goethite
120,ore,gold
120,ore,hematite
120,ore,limonite
120,ore,marcasite
120,ore,pyrite
121,gangue,carbonate
121,gangue,quartz
121,gold,gold
121,ore,Fe-oxide
121,ore,pyrite
122,gold,gold
123,gangue,alunite
123,gangue,barite
123,gangue,calcite
123,gangue,dolomite
123,gangue,illite
123,gangue,jarosite
123,gangue,kaolinite
123,gangue,oil
123,gangue,pyrobitumen
123,gangue,quartz
123,gold,quartz
123,ore,goethite
123,ore,gold
123,ore,hematite
123,ore,limonite
123,ore,marcasite
123,ore,orpiment
123,ore,pyrite
123,ore,realgar
123,ore,stibnite
