recno,value
106,"silicification (jasperoid)"
106,sulfidization
107,oxidation
108,decarbonatization
108,oxidation
109,argillization
109,decalcification
109,oxidation
109,silicification
110,argillization
110,decalcification
110,silicification
111,argillization
111,decarbonatization
111,silicification
112,argillization
112,"contact metamorphism (hornfels, skarn)"
112,decalcification
112,silicification
113,argillization
113,"contact metamorphism"
113,decalcification
113,silicification
114,argillization
114,decalcification
114,"oxidation (+alunite)"
114,"silicification (jasperoid)"
115,"contact metamorphism (?)"
115,decarbonatization
115,oxidation
115,"silicification (jasperoid)"
116,argillization
116,decalcification
116,oxidation
116,silicification
117,argillization
117,decalcification
117,oxidation
117,silicification
118,argillization
118,decalcification
118,silicification
119,argillization
119,decalcification
119,oxidation
119,silicification
120,argillization
120,oxidation
120,"silicification (jasperoid)"
121,argillization
121,carbonization
121,"silicification (jasperoid)"
122,"silicification (jasperoid)"
123,argillization
123,decalcification
123,oxidation
123,"silicification (jasperoid)"
